CustomerID,Age,Sex,Job,Marital_Status,Education_Level,Credit_Default,Housing_Loan,Personal_Loan,Contact_Method,Contact_Month,Contact_WeekDay,NoContacts_Current_Campaign,Pdays,NoContacts_PrevCampaigns,Prev_Outcome,Emp_Var_Rate,Monthly_CPI,Monthly_CCI,Euribor3m,No_Employed,Outcome
tsb725wl,49,F,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
xxx867zq,44,F,technician,married,professional.course,no,yes,no,cellular,jul,mon,4,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0
vav132wn,40,F,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
jxf642zt,48,M,entrepreneur,married,basic.9y,no,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
dss756td,34,M,blue-collar,divorced,high.school,no,yes,no,cellular,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
ohs974di,34,M,technician,single,professional.course,no,yes,no,cellular,apr,fri,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0
lvz788kt,33,F,admin.,divorced,professional.course,no,yes,no,telephone,jul,mon,4,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
ztr916ta,35,M,admin.,single,university.degree,no,no,no,cellular,nov,fri,1,999,3,failure,-3.4,92.649,-29.8,0.722,5017.5,0
nwb353iz,25,M,admin.,single,professional.course,no,no,yes,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
jac519lw,41,F,unemployed,married,university.degree,no,no,no,cellular,sep,wed,1,999,0,nonexistent,-1.7,94.215,-40.3,0.838,4991.6,1
yam795sm,26,M,blue-collar,single,basic.9y,unknown,yes,no,cellular,may,mon,3,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1,0
pnu752rn,53,M,technician,divorced,professional.course,unknown,no,yes,cellular,jul,tue,7,999,0,nonexistent,1.4,93.918,-42.7,4.965,5228.1,0
nkr869kw,27,F,student,single,high.school,no,yes,no,cellular,may,fri,1,999,0,nonexistent,-1.8,92.963,-46.2,1.299,5099.1,0
mpj877tr,40,M,technician,single,professional.course,no,yes,yes,cellular,aug,fri,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
ymb335ut,48,F,management,married,professional.course,no,unknown,unknown,telephone,jun,thu,8,999,0,nonexistent,1.4,94.465,-41.8,4.963,5228.1,0
iav868ue,58,M,entrepreneur,married,professional.course,no,yes,no,telephone,aug,mon,2,999,0,nonexistent,-1.7,94.027,-38.3,0.879,4991.6,1
ryr596kd,49,F,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
jnt452rp,40,F,management,divorced,university.degree,no,no,no,cellular,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
vbk141ye,56,M,services,single,high.school,unknown,yes,no,telephone,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
qgv883fq,39,M,blue-collar,married,basic.9y,no,yes,no,telephone,jun,thu,16,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0
yng846wl,40,M,admin.,single,unknown,no,no,no,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
prv216lb,37,M,self-employed,single,university.degree,no,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,1
mml335so,58,M,retired,single,basic.9y,unknown,yes,yes,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
kww126cb,26,F,admin.,single,high.school,no,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
ktv677xx,33,F,services,married,high.school,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
xon622hl,31,F,admin.,single,university.degree,no,yes,no,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
ssc293ip,31,F,admin.,divorced,university.degree,unknown,no,no,telephone,sep,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
meg484ag,27,M,services,single,basic.9y,no,yes,yes,telephone,may,fri,2,999,0,nonexistent,-1.8,92.893,-46.2,1.466,5099.1,0
vnd298wr,53,M,blue-collar,married,basic.6y,no,no,no,cellular,may,mon,2,3,2,success,-1.8,92.893,-46.2,1.344,5099.1,0
apg623na,43,F,admin.,single,unknown,unknown,yes,no,cellular,may,mon,11,999,0,nonexistent,-1.8,92.963,-46.2,1.27,5099.1,0
drh781wm,21,M,admin.,married,high.school,no,no,yes,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
xji399bi,33,F,blue-collar,divorced,basic.9y,no,yes,no,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,1
gwc178jz,24,M,technician,single,university.degree,no,yes,no,cellular,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
qek187ci,33,F,blue-collar,married,high.school,no,no,no,telephone,jun,tue,3,999,0,nonexistent,1.4,94.465,-41.8,4.965,5228.1,0
btb386vv,32,F,technician,married,professional.course,no,yes,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
fpt165dp,26,M,services,single,high.school,no,yes,no,telephone,aug,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.963,5228.1,0
kaz134hc,39,M,blue-collar,married,basic.9y,unknown,no,no,cellular,may,wed,8,999,1,failure,-1.1,94.215,-41.8,0.977,4963.6,0
nvj276fb,30,F,admin.,married,university.degree,no,yes,no,cellular,oct,wed,2,999,0,nonexistent,-3.4,92.379,-26.9,0.73,5017.5,0
try161cz,42,F,admin.,married,university.degree,no,no,no,cellular,jun,wed,1,999,1,failure,-3,92.713,-33,0.668,5023.5,0
hak355ap,51,F,admin.,married,high.school,no,yes,no,cellular,mar,mon,1,999,0,nonexistent,-3.4,92.201,-29.8,0.739,5076.2,0
lfj796vk,43,M,blue-collar,divorced,basic.4y,unknown,no,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1,0
fsn467lf,59,M,management,married,university.degree,unknown,yes,no,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.963,5228.1,0
tli824id,38,M,housemaid,single,basic.9y,no,no,no,cellular,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.967,5228.1,0
gwu484jb,35,M,technician,divorced,professional.course,no,yes,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,0
wdz794de,32,F,blue-collar,married,basic.6y,no,no,no,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
ffe323cj,42,F,admin.,married,high.school,no,yes,no,cellular,oct,wed,1,3,1,success,-3.4,92.469,-26.9,0.715,5017.5,1
etu943kw,38,F,management,single,university.degree,no,no,no,cellular,jun,thu,1,999,1,failure,-1.7,94.055,-40.3,0.655,4991.6,0
kgz333fy,33,F,services,married,unknown,unknown,yes,no,cellular,may,thu,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
ayv293lf,58,F,admin.,married,university.degree,no,yes,no,cellular,jul,tue,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
cht148vg,36,M,management,married,university.degree,no,yes,no,cellular,may,fri,3,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
axl933to,46,F,management,married,university.degree,no,no,no,cellular,nov,mon,2,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,0
mni478rm,46,F,admin.,married,university.degree,no,yes,no,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0
fvq318nb,32,F,blue-collar,married,basic.9y,no,no,no,telephone,aug,fri,1,999,1,failure,-3,92.649,-33.6,0.884,5076.2,0
vic113wz,32,M,admin.,married,high.school,no,yes,no,cellular,feb,fri,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
mcg186rc,81,F,blue-collar,married,basic.4y,no,no,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,92.843,-50,1.52,5099.1,0
kmn549md,52,F,entrepreneur,married,university.degree,no,no,no,telephone,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0
irx276ch,24,F,blue-collar,single,high.school,no,no,yes,cellular,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.964,5228.1,0
eji287aj,50,F,management,divorced,high.school,no,no,no,cellular,may,mon,1,999,1,failure,-3.4,92.379,-26.9,0.861,5076.2,0
ssq512kh,44,F,blue-collar,married,basic.4y,no,yes,no,cellular,nov,fri,2,999,0,nonexistent,-0.1,93.2,-42,4.7,5195.8,0
mxp487wo,46,F,unemployed,divorced,basic.6y,no,no,no,cellular,may,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,0
eqv236qe,34,F,admin.,single,high.school,no,no,no,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
ojd346lz,42,F,unemployed,married,university.degree,unknown,unknown,unknown,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0
wwx145fu,50,M,technician,married,professional.course,no,no,no,telephone,jul,mon,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
idk177vt,43,M,housemaid,single,basic.4y,unknown,no,no,telephone,may,wed,16,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
axe779sk,53,M,blue-collar,married,high.school,unknown,yes,yes,cellular,apr,mon,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0
qnk621cq,56,M,management,married,university.degree,no,yes,no,cellular,jul,thu,1,3,2,success,-1.8,93.749,-36.1,0.879,5076.2,1
txj911pg,27,F,admin.,single,university.degree,no,unknown,unknown,telephone,jun,tue,2,999,0,nonexistent,-1.7,93.994,-36.4,0.659,4991.6,0
vqw252oo,36,F,technician,married,university.degree,no,yes,no,cellular,aug,tue,1,6,1,success,-1.7,94.027,-38.3,0.741,4991.6,1
kkh894mm,34,F,self-employed,single,professional.course,no,no,yes,telephone,jun,tue,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
xhj948ql,35,M,blue-collar,married,unknown,no,no,no,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,0
xdi713ht,43,F,admin.,married,high.school,no,yes,no,cellular,dec,mon,1,999,1,failure,-2.9,92.893,-40.8,1.264,5076.2,0
hce269eu,34,M,housemaid,married,university.degree,no,no,yes,telephone,feb,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
wni428cz,38,F,blue-collar,married,basic.9y,no,no,no,cellular,nov,mon,3,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
vpq991ta,41,M,technician,single,professional.course,no,no,yes,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
mys662ty,35,F,admin.,married,high.school,no,yes,no,cellular,nov,tue,7,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
ckn653oy,27,F,blue-collar,single,basic.4y,no,yes,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1
sih598cx,32,M,unemployed,single,university.degree,no,yes,no,cellular,aug,tue,1,999,0,nonexistent,-2.9,92.201,-31.4,0.741,5076.2,0
kfr736yt,32,M,technician,single,university.degree,no,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
oyu725sn,39,F,blue-collar,married,basic.9y,no,no,no,telephone,jul,thu,8,999,2,failure,-1.8,92.893,-46.2,1.327,5099.1,0
rea692ae,29,F,services,married,unknown,no,yes,no,telephone,feb,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
bzj552hb,60,M,retired,married,basic.9y,unknown,no,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
fsr575fg,54,F,admin.,divorced,high.school,no,no,no,cellular,nov,tue,1,999,1,failure,-0.1,93.2,-42,4.021,5195.8,0
dfo637fq,38,F,blue-collar,married,basic.4y,no,no,no,telephone,may,tue,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
qpo117am,43,F,admin.,married,university.degree,unknown,no,no,cellular,jun,wed,2,999,0,nonexistent,-2.9,92.893,-40.8,1.405,5076.2,1
soh768mn,59,M,admin.,married,basic.9y,no,yes,no,cellular,may,tue,2,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,0
hsj232yb,28,M,technician,single,university.degree,no,yes,no,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
ogt241pb,26,M,unemployed,married,professional.course,no,yes,yes,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.963,5228.1,0
wyl772pf,60,F,retired,married,university.degree,no,no,no,cellular,nov,thu,2,999,0,nonexistent,-3,92.649,-33,0.72,5023.5,1
xrx515nj,52,M,technician,single,professional.course,no,no,no,cellular,may,wed,5,9,2,failure,-1.8,93.876,-40,0.714,5008.7,1
ffd917to,31,M,admin.,single,high.school,no,yes,no,cellular,jul,wed,3,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
fpo785be,31,M,services,single,high.school,no,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
crn843ts,24,F,blue-collar,single,basic.6y,no,no,no,cellular,may,thu,8,999,0,nonexistent,-1.8,92.893,-46.2,1.262,5099.1,0
wcp893kf,33,M,services,single,high.school,no,yes,yes,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,0
